% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/11/10 16:37:08
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample R  Amplitude (V); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
23911.45551455427; 0.100019544164; -0.00122710217588; -0.100012016453
23915.88155741368; 0.100073246871; -0.00123409124963; -0.100065637249
23920.30760027309; 0.100117257534; -0.00124367066027; -0.10010953271
23924.73364313249; 0.100164714886; -0.00125276194598; -0.100156880422
23929.1596859919; 0.100215617312; -0.00126179385661; -0.100207673506
23933.58572885131; 0.100268382518; -0.00126451212551; -0.100260408646
23938.01177171072; 0.100317969828; -0.00127165461679; -0.100309909605
23942.43781457012; 0.100370849677; -0.00128625217414; -0.10036260768
23946.86385742953; 0.100422014667; -0.00129022755307; -0.100413725868
23951.28990028894; 0.100478663034; -0.00129642629487; -0.100470299113
23955.71594314835; 0.100530571905; -0.0013073406251; -0.10052207095
23960.14198600775; 0.100580597014; -0.00131593347211; -0.100571988221
23964.56802886716; 0.100640598112; -0.00132408293943; -0.100631887554
23968.99407172656; 0.100693777149; -0.00133804893939; -0.10068488656
23973.42011458597; 0.100747477836; -0.00134144769615; -0.100738546785
23977.84615744538; 0.100800672482; -0.00135872489827; -0.100791514719
23982.27220030479; 0.100862912746; -0.0013641962784; -0.100853686775
23986.69824316419; 0.100917909471; -0.00137400597042; -0.100908555433
23991.1242860236; 0.100975355306; -0.00138522210319; -0.100965853332
23995.55032888301; 0.101032273848; -0.00138997782206; -0.101022711905
23999.97637174241; 0.101084277622; -0.00139755896414; -0.101074616058
24004.40241460182; 0.101145662485; -0.00141623185032; -0.101135747028
24008.82845746123; 0.101210589058; -0.00142354935011; -0.101200577294
24013.25450032064; 0.101267375354; -0.00143650622241; -0.101257186219
24017.68054318004; 0.101325662939; -0.00144820614394; -0.101315313102
24022.10658603945; 0.101385208648; -0.0014624886738; -0.101374659849
24026.53262889886; 0.101451748641; -0.00146933300331; -0.101441107854
24030.95867175826; 0.101518335306; -0.00148512286998; -0.101507471712
24035.38471461767; 0.101572473125; -0.00149815383785; -0.101561423936
24039.81075747708; 0.101631885784; -0.00150721797345; -0.101620709022
24044.23680033649; 0.101708422818; -0.00152008073077; -0.101697063019
24048.66284319589; 0.101776777477; -0.00153843516136; -0.101765149491
24053.0888860553; 0.101844283518; -0.00154782489836; -0.101832520952
24057.51492891471; 0.101906368726; -0.00156657045182; -0.101894326849
24061.94097177411; 0.101972719489; -0.00157638941332; -0.101960534112
24066.36701463352; 0.102045259452; -0.00159530504638; -0.102032788742
24070.79305749293; 0.102113635592; -0.00160672646056; -0.102100994137
24075.21910035234; 0.102185824776; -0.00162651386287; -0.10217287917
24079.64514321174; 0.102252520596; -0.00163903097822; -0.102239383535
24084.07118607115; 0.102328665041; -0.00165725911346; -0.10231524413
24088.49722893056; 0.102402229188; -0.00167028570637; -0.102388606242
24092.92327178996; 0.102474983447; -0.00169052712273; -0.102461038207
24097.34931464937; 0.102549453815; -0.00170480832768; -0.102535282251
24101.77535750878; 0.102621065256; -0.00172619632744; -0.102606545992
24106.20140036818; 0.102703600179; -0.00174258830101; -0.102688815729
24110.62744322759; 0.10277183934; -0.00176190908147; -0.102756735243
24115.053486087; 0.102850796708; -0.00178259680625; -0.102835347678
24119.47952894641; 0.102931297143; -0.00180157860313; -0.102915529664
24123.90557180581; 0.103016463222; -0.00181627393555; -0.103000450697
24128.33161466522; 0.103091694649; -0.00184455156381; -0.103075191657
24132.75765752463; 0.103172223233; -0.00185834673213; -0.103155485527
24137.18370038403; 0.103252260447; -0.00188672911905; -0.103235020902
24141.60974324344; 0.103331954643; -0.00190598427208; -0.103314374965
24146.03578610285; 0.103427643377; -0.00192505472529; -0.103409726713
24150.46182896226; 0.103515867388; -0.00194931178598; -0.103497511973
24154.88787182166; 0.103604158783; -0.00197271875221; -0.103585375888
24159.31391468107; 0.103689591405; -0.00199421360196; -0.103670412741
24163.73995754048; 0.103790149174; -0.00202028223775; -0.103770484846
24168.16600039988; 0.103880868983; -0.00204477314034; -0.103860742552
24172.59204325929; 0.103979584755; -0.00207122435117; -0.103958953802
24177.0180861187; 0.104071401916; -0.00210008161648; -0.104050210734
24181.44412897811; 0.10416820741; -0.0021293841763; -0.104146440928
24185.87017183751; 0.104268979216; -0.00216030740442; -0.10424659754
24190.29621469692; 0.104370500859; -0.00218854795867; -0.104347552475
24194.72225755632; 0.104472745452; -0.00221712818472; -0.104449216775
24199.14830041573; 0.104580099154; -0.00224526498188; -0.104555994205
24203.57434327514; 0.104688447182; -0.00227956424954; -0.104663625774
24208.00038613455; 0.104802302962; -0.0023178776757; -0.104776667962
24212.42642899396; 0.104910542577; -0.00234739358178; -0.104884277597
24216.85247185336; 0.105019885578; -0.00238628164707; -0.104992771307
24221.27851471277; 0.105135749255; -0.00241844040472; -0.10510792985
24225.70455757217; 0.105254404869; -0.00246260701823; -0.105225592471
24230.13060043158; 0.105374935417; -0.00250375040095; -0.105345186165
24234.55664329099; 0.105495864269; -0.00253741396901; -0.105465344584
24238.9826861504; 0.105628539348; -0.00258022832126; -0.105597020538
24243.4087290098; 0.105746603932; -0.00262424597013; -0.105714036799
24247.83477186921; 0.105869621169; -0.00267130043376; -0.1058359147
24252.26081472862; 0.106007670378; -0.00271690946166; -0.105972848325
24256.68685758803; 0.106145122854; -0.00276839974468; -0.10610901502
24261.11290044743; 0.106285254249; -0.00281723150808; -0.106247910462
24265.53894330684; 0.106421492533; -0.00287108650501; -0.106382756757
24269.96498616625; 0.106565585873; -0.00292112841407; -0.106525542013
24274.39102902565; 0.106717390335; -0.00298358389141; -0.106675674955
24278.81707188506; 0.106862961382; -0.00304242546813; -0.106819643149
24283.24311474447; 0.107011413042; -0.0031057825164; -0.106966334125
24287.66915760388; 0.107171798631; -0.00316672275713; -0.107125003098
24292.09520046328; 0.107335336162; -0.00323123807725; -0.107286688314
24296.52124332269; 0.107498558627; -0.00330127460817; -0.107447855692
24300.9472861821; 0.107671807483; -0.00337112909111; -0.107619020695
24305.3733290415; 0.107840895885; -0.00345285087473; -0.107785605004
24309.79937190091; 0.108021857087; -0.00353360763297; -0.107964045986
24314.22541476032; 0.108199155025; -0.00361054185087; -0.108138897422
24318.65145761973; 0.108380983074; -0.00370026079836; -0.108317798917
24323.07750047913; 0.108573860962; -0.00379132330412; -0.108507645591
24327.50354333854; 0.108768619137; -0.00388530086315; -0.108699203981
24331.92958619794; 0.108966640344; -0.00398712628915; -0.108893670761
24336.35562905735; 0.10917430077; -0.00408565323505; -0.109097824846
24340.78167191676; 0.109383319133; -0.00420162611054; -0.109302593028
24345.20771477617; 0.109599400816; -0.0043141409275; -0.109514459535
24349.63375763557; 0.109818833075; -0.00443764355996; -0.109729136593
24354.05980049498; 0.110046384886; -0.00455944816245; -0.109951890657
24358.48584335439; 0.110279063045; -0.0046905944525; -0.110179263338
24362.91188621379; 0.110517849077; -0.00483008727531; -0.110412251229
24367.3379290732; 0.110768163432; -0.0049808172006; -0.110656122696
24371.76397193261; 0.111019665012; -0.00513921369701; -0.110900651495
24376.19001479202; 0.111286673766; -0.00530008774759; -0.111160392352
24380.61605765142; 0.111551983297; -0.0054714667895; -0.111417718648
24385.04210051083; 0.111833839761; -0.00565379246697; -0.111690833762
24389.46814337024; 0.112114858997; -0.00585186948225; -0.111962034777
24393.89418622965; 0.112413987921; -0.00605440945547; -0.112250829869
24398.32022908905; 0.112715126954; -0.00627171021799; -0.11254050602
24402.74627194846; 0.113029730497; -0.00650322247779; -0.112842492323
24407.17231480787; 0.113352911057; -0.00674788354941; -0.113151882498
24411.59835766727; 0.113681332547; -0.00700495162787; -0.113465307572
24416.02440052668; 0.11402418444; -0.00728050856227; -0.113791514764
24420.45044338609; 0.114378668677; -0.00758079377432; -0.114127172112
24424.8764862455; 0.114746225917; -0.00788954246061; -0.11447467616
24429.3025291049; 0.115120049845; -0.00822714309312; -0.114825693958
24433.72857196431; 0.115510132472; -0.00857990687738; -0.115191040892
24438.15461482372; 0.115915386681; -0.00896883472219; -0.11556788859
24442.58065768312; 0.116325896363; -0.00937079674314; -0.115947843158
24447.00670054253; 0.116746472413; -0.00981289995413; -0.116333339226
24451.43274340194; 0.117183021245; -0.0102821941076; -0.116731045367
24455.85878626135; 0.117634931643; -0.0107883292665; -0.117139186843
24460.28482912075; 0.118093388796; -0.0113364503555; -0.117548004537
24464.71087198016; 0.118573005; -0.0119189430282; -0.11797243878
24469.13691483956; 0.119049852246; -0.0125483701854; -0.118386678835
24473.56295769897; 0.119541234163; -0.0132247009057; -0.11880746589
24477.98900055838; 0.12005574028; -0.0139605469798; -0.119241284387
24482.41504341779; 0.120560065313; -0.014749050066; -0.119654481196
24486.84108627719; 0.121086793539; -0.0156026323002; -0.120077347717
24491.2671291366; 0.121602589763; -0.0165258512219; -0.120474420847
